metrica,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04
Metas,,,,,,,,,,,,,
Vendas,625.0,625.0,625.0,625.0,625.0,640.0,625.0,625.0,480.0,675.0,575.0,540.0,540.0
Visitas Realizadas,875.0,810.0,870.0,888.0,922.0,903.0,920.0,838.0,612.0,875.0,1086.0,863.0,863.0
Realizado,,,,,,,,,,,,,
Vendas,548.0,494.0,556.0,537.0,549.0,506.0,567.0,467.0,304.0,513.0,523.0,520.0,374.0
Visitas Realizadas,748.0,747.0,750.0,795.0,739.0,694.0,705.0,556.0,445.0,932.0,939.0,784.0,728.0
HC,17.0,17.0,17.0,16.0,15.0,15.0,15.0,15.0,19.0,20.0,22.0,20.0,23.0
Closer,,,,,,,,,,5.0,7.0,7.0,6.0
SDR,,,,,,,,,,15.0,15.0,13.0,17.0
